id,incident_group_id,source_type,text,label,priority,timestamp
0,151,log,WARN wan-gateway DNSTimeoutError: resolution failed for 168.151.126.183 after 3 retries at 2024-01-25 04:16:00,network_issue,high,2024-01-25 04:16:00
1,266,log,"ERROR nginx-ingress TokenSigningFailed: RSA key cert expired, auth broken for auth.company.com at 2024-01-16 04:25:00",certificate_expiry,high,2024-01-16 04:25:00
2,101,alert,ALERT: dns_failures on wan-gateway exceeded 10/min -> 53/min sustained,network_issue,high,2024-01-15 04:08:00
3,135,alert,ALERT: wan_throughput on dns-resolver-prod dropped below 500Mbps -> 455Mbps,network_issue,high,2024-01-22 00:47:00
4,128,ticket,Users cannot reach dns-resolver-prod. NAT translation failing on gateway 25.45.118.137.,network_issue,medium,2024-01-20 12:05:00
5,84,log,WARN ldap-directory PushTimeout: MFA push undelivered to bsantos after 30s at 2024-01-31 16:29:00,authentication_failure,medium,2024-01-31 16:29:00
6,146,alert,ALERT: vpn_stability on bgp-peer-isp1 below 99% -> 85% uptime,network_issue,high,2024-01-24 04:39:00
7,69,alert,ALERT: ad_bind_failures on api-gateway exceeded 5/min -> 31/min,authentication_failure,high,2024-01-28 16:55:00
8,134,ticket,Intermittent packet loss on WAN link via spine-switch-02. Throughput reduced by 56%.,network_issue,medium,2024-01-21 16:23:00
9,101,log,WARN wan-gateway DNSTimeoutError: resolution failed for 125.178.13.107 after 3 retries at 2024-01-15 04:06:00,network_issue,high,2024-01-15 04:06:00
10,125,ticket,Firewall rule blocking traffic between VLAN 30 and VLAN 20 via dns-resolver-prod.,network_issue,medium,2024-01-20 00:03:00
11,65,log,ERROR mfa-broker AuthRejected: Bearer token mismatch for ykim at 2024-01-28 00:23:00,authentication_failure,medium,2024-01-28 00:23:00
12,190,ticket,Pod checkout-svc restarting after release in prod-us. OOM kill in kubelet logs.,deployment_issue,high,2024-01-19 00:14:00
13,30,log,ERROR ad-connector TokenValidationException: JWT expired for user ykim at 2024-01-21 00:25:00,authentication_failure,medium,2024-01-21 00:25:00
14,149,ticket,Load balancer edge-router-01 reporting upstream timeouts. Backend 63.73.203.238 unreachable.,network_issue,medium,2024-01-24 16:24:00
15,163,ticket,DNS lookup failures affecting nat-gateway-eu. Routing misconfiguration suspected on 167.43.68.81.,network_issue,medium,2024-01-27 12:13:00
16,175,alert,ALERT: ci_failure_rate for payments-api exceeded 20% -> 73% failing,deployment_issue,medium,2024-01-16 00:15:00
17,244,log,ERROR mysql-replica HealthCheckFailed: analytics-api cannot connect to backend at 2024-01-18 16:09:00,database_failure,high,2024-01-18 16:09:00
18,259,alert,ALERT: db_deadlocks on mongodb-cluster-01 exceeded 5/min -> 18/min detected,database_failure,high,2024-01-21 16:32:00
19,211,log,ERROR helm-controller DeployFailed: rollout of billing-service failed in prod-us at 2024-01-23 04:03:00,deployment_issue,high,2024-01-23 04:03:00
20,214,log,ERROR pvc-controller VolumeBindTimeout: PVC for search-service unbound in prod-core at 2024-01-23 16:14:00,deployment_issue,medium,2024-01-23 16:14:00
21,135,ticket,Firewall rule blocking traffic between VLAN 30 and VLAN 200 via dns-resolver-prod.,network_issue,medium,2024-01-22 00:28:00
22,116,log,ERROR core-switch-A UpstreamTimeout: backend 156.213.15.128 unreachable at 2024-01-18 04:16:00,network_issue,medium,2024-01-18 04:16:00
23,163,log,CRITICAL nat-gateway-eu RouteFlap: BGP session dropped with peer 40.122.156.30 at 2024-01-27 12:16:00,network_issue,high,2024-01-27 12:16:00
24,249,log,ERROR cassandra-node-01 DeadlockDetected: transaction rolled back for search-service at 2024-01-19 16:09:00,database_failure,medium,2024-01-19 16:09:00
25,132,log,ERROR wan-gateway RuleViolation: traffic blocked src=113.159.60.164 dst=85.188.113.57 port=8080 at 2024-01-21 08:25:00,network_issue,medium,2024-01-21 08:25:00
26,98,log,WARN ad-connector RateLimited: token endpoint flooded by requests for crossi at 2024-02-03 12:08:00,authentication_failure,high,2024-02-03 12:08:00
27,20,alert,ALERT: auth_error_rate on oauth2-server exceeded 5% -> 11% over 10min,authentication_failure,medium,2024-01-19 00:14:00
28,183,alert,ALERT: nodes_not_ready hosting checkout-svc -> 1 nodes in NotReady in prod-core,deployment_issue,medium,2024-01-17 12:07:00
29,166,ticket,Failover not triggering on bgp-peer-isp1. Redundant path to 149.187.21.195 unavailable.,network_issue,high,2024-01-28 04:27:00
30,53,ticket,MFA push notifications not delivered via mfa-broker. User tlefevre locked out.,authentication_failure,high,2024-01-25 12:18:00
31,261,ticket,HTTPS connection failing to cert-manager. Certificate for api.internal expired 4 days ago.,certificate_expiry,high,2024-01-15 04:03:00
32,54,alert,ALERT: mfa_push_failures on ldap-directory exceeded 5% -> 16% undelivered,authentication_failure,high,2024-01-25 16:18:00
33,44,alert,ALERT: mfa_push_failures on oauth2-server exceeded 5% -> 24% undelivered,authentication_failure,high,2024-01-23 16:32:00
34,144,alert,ALERT: bgp_sessions on spine-switch-02 below threshold 2 -> 0 active,network_issue,high,2024-01-23 16:33:00
35,93,log,ERROR mfa-broker TGTRenewalFailed: KDC unreachable for abolarin at 2024-02-02 12:16:00,authentication_failure,high,2024-02-02 12:16:00
36,84,alert,ALERT: mfa_push_failures on ldap-directory exceeded 5% -> 11% undelivered,authentication_failure,high,2024-01-31 16:52:00
37,268,log,ERROR vault-pki AccessDenied: SSL certificate untrusted for user bsantos at 2024-01-16 12:23:00,certificate_expiry,medium,2024-01-16 12:23:00
38,96,alert,ALERT: session_expiry on api-gateway exceeded 20/min -> 86/min,authentication_failure,high,2024-02-03 04:38:00
39,53,alert,ALERT: ldap_timeout_rate on mfa-broker exceeded 1% -> 26% timing out,authentication_failure,medium,2024-01-25 12:47:00
40,98,ticket,Sessions expiring prematurely via ad-connector. Session store issue affecting crossi.,authentication_failure,high,2024-02-03 12:01:00
41,28,log,WARN oauth2-server RateLimited: token endpoint flooded by requests for crossi at 2024-01-20 12:21:00,authentication_failure,high,2024-01-20 12:21:00
42,142,log,ERROR border-router RuleViolation: traffic blocked src=164.104.203.235 dst=71.164.144.98 port=5432 at 2024-01-23 08:16:00,network_issue,medium,2024-01-23 08:16:00
43,231,ticket,Disk IO on postgres-primary saturated. reporting-api queries taking 42.5s to respond.,database_failure,high,2024-01-16 04:26:00
44,257,log,ERROR postgres-primary QueryTimeoutException: query exceeded 30s for order-service at 2024-01-21 08:24:00,database_failure,medium,2024-01-21 08:24:00
45,234,ticket,mysql-primary crash loop. analytics-api health check failing due to DB unreachable.,database_failure,high,2024-01-16 16:21:00
46,264,alert,ALERT: x509_expired_cert detected on lets-encrypt-agent for domain vpn.corp.net,certificate_expiry,high,2024-01-15 16:41:00
47,207,ticket,Sidecar injection failing for notification-worker in prod-eu. Pods missing Envoy proxy.,deployment_issue,medium,2024-01-22 08:29:00
48,30,ticket,Users unable to authenticate via ad-connector. Token validation failed for ykim.,authentication_failure,high,2024-01-21 00:15:00
49,191,ticket,Deployment rollback triggered for auth-worker in prod-core. Health check failing.,deployment_issue,medium,2024-01-19 04:23:00
50,111,log,WARN core-switch-A DNSTimeoutError: resolution failed for 166.146.251.52 after 3 retries at 2024-01-17 04:36:00,network_issue,high,2024-01-17 04:36:00
51,36,log,CRITICAL saml-proxy ConnectionRefused: Redis auth backend unreachable for rnguyen at 2024-01-22 04:34:00,authentication_failure,high,2024-01-22 04:34:00
52,189,alert,ALERT: sidecar_injection_failures for data-pipeline exceeded 0 -> 3 missing in prod-core,deployment_issue,medium,2024-01-18 16:29:00
53,3,alert,ALERT: ldap_timeout_rate on api-gateway exceeded 1% -> 7% timing out,authentication_failure,medium,2024-01-15 12:30:00
54,24,ticket,OAuth2 token endpoint on session-store returning 401 for account ykim.,authentication_failure,high,2024-01-19 16:26:00
55,181,alert,ALERT: deployment_rollback triggered for gateway-proxy in prod — health check failing,deployment_issue,medium,2024-01-17 04:15:00
56,217,ticket,Sidecar injection failing for search-service in prod-data. Pods missing Envoy proxy.,deployment_issue,medium,2024-01-24 08:22:00
57,230,log,"CRITICAL postgres-primary PrimaryUnavailable: failover in progress, replica not ready at 2024-01-16 00:13:00",database_failure,high,2024-01-16 00:13:00
58,208,ticket,Database migration V71 failed during order-service deployment in prod-eu.,deployment_issue,high,2024-01-22 12:03:00
59,229,log,ERROR mongodb-cluster-01 DeadlockDetected: transaction rolled back for auth-service at 2024-01-15 16:34:00,database_failure,medium,2024-01-15 16:34:00
60,12,alert,ALERT: sso_failure_rate on kerberos-kdc exceeded 10% -> 37% failing,authentication_failure,high,2024-01-17 08:55:00
61,87,ticket,API gateway mfa-broker rejecting Bearer tokens. Auth backend unreachable for bsantos.,authentication_failure,high,2024-02-01 08:00:00
62,198,log,CRITICAL flyway MigrationFailed: schema V49 failed for gateway-proxy at 2024-01-20 12:31:00,deployment_issue,high,2024-01-20 12:31:00
63,30,alert,ALERT: auth_error_rate on ad-connector exceeded 5% -> 10% over 10min,authentication_failure,medium,2024-01-21 00:44:00
64,147,log,CRITICAL vpn-concentrator TunnelDown: IPSec SA expired for 113.235.124.254 at 2024-01-24 08:21:00,network_issue,high,2024-01-24 08:21:00
65,227,log,ERROR mongodb-cluster-01 QueryTimeoutException: query exceeded 30s for reporting-api at 2024-01-15 08:13:00,database_failure,medium,2024-01-15 08:13:00
66,84,ticket,OAuth2 token endpoint on ldap-directory returning 401 for account bsantos.,authentication_failure,high,2024-01-31 16:23:00
67,21,alert,ALERT: jwt_failures on token-service exceeded 50/min -> 89/min,authentication_failure,high,2024-01-19 04:30:00
68,54,log,WARN ldap-directory PushTimeout: MFA push undelivered to tlefevre after 30s at 2024-01-25 16:21:00,authentication_failure,medium,2024-01-25 16:21:00
69,124,log,ERROR dhcp-server-hq HighLatency: RTT 712ms to 63.166.244.135 at 2024-01-19 16:23:00,network_issue,medium,2024-01-19 16:23:00
